Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_Pasien_Dalam_Perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawat,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_,Kasus_Sedang_Investigasi_Lapang,Jumlah_Spesimen_Diperiksa_Terki,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Suspek_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
128,2020/07/07 00:00:00+00,66226,30785,3309,32132,1268,866,68,334,46.48476429,4.996527044,48.51870866,946054,562759,496533,17816,10675,13471,38702,,,,,,,,,,,,,1970/01/01 00:00:00+00,75
129,2020/07/08 00:00:00+00,68079,31585,3359,33135,1853,800,50,1003,46.39462977,4.933973766,48.67139647,968237,581594,507447,22183,12777,13636,38498,,,,,,,,,,,,,1970/01/01 00:00:00+00,76
130,2020/07/09 00:00:00+00,70736,32651,3417,34668,2657,1066,58,1533,46.15895725,4.830637865,49.01040489,992069,588080,517344,23832,12554,13732,38498,,,,,,,,,,,,,1970/01/01 00:00:00+00,77
131,2020/07/10 00:00:00+00,72347,33529,3469,35349,1611,878,52,681,46.34469985,4.794946577,48.86035357,1015678,597468,525121,23609,9388,13882,38705,,,,,,,,,,,,,1970/01/01 00:00:00+00,78
132,2020/07/11 00:00:00+00,74018,34719,3535,35764,1671,1190,66,415,46.90615796,4.77586533,48.31797671,1038988,610093,536075,23310,12625,13752,34887,,,,,,,,,,,,,1970/01/01 00:00:00+00,79
133,2020/07/12 00:00:00+00,75699,35638,3606,36455,1681,919,71,691,47.07856114,4.763603218,48.15783564,1061367,621087,545388,22379,10994,14515,34486,,,,,,,,,,,,,1970/01/01 00:00:00+00,80
134,2020/07/13 00:00:00+00,76981,36689,3656,36636,1282,1051,50,181,47.65981216,4.749223834,47.590964,1074467,630149,553168,13100,9062,13439,33504,,,,,,,,,,,,,1970/01/01 00:00:00+00,81
135,2020/07/14 00:00:00+00,78572,37636,3710,37226,1591,947,54,590,47.90001527,4.721783842,47.37820089,1097468,642164,563592,23001,12015,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,82
136,2020/07/15 00:00:00+00,80094,39050,3797,37247,1522,1414,87,21,48.75521263,4.740679701,46.50410767,1122339,657655,577561,24871,15491,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,83
137,2020/07/16 00:00:00+00,81668,40345,3873,37450,1574,1295,76,203,49.40123427,4.742371553,45.85639418,1146794,669811,588143,23947,12156,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,84
